Episode Number,Reward,Number of steps,Status,Mean Response Time
1,-98.9823,51,0,6195.8
2,-72.8077,133,0,3474.12
3,-8.91558,339,0,3522.91
4,-95.405,90,0,3247.99
5,-60.5456,181,0,3168.16
6,-35.7959,178,0,3103.77
7,288.437,582,1,3064.18
8,-58.7224,226,0,3130.41
9,-73.9074,174,0,3108.15
10,-63.1367,188,0,3127.26
11,-113.453,110,0,3158.06
12,-17.8632,330,0,3097.77
13,-76.1222,110,0,3169.81
14,-65.6316,153,0,3226.43
15,-20.6177,310,0,3229.06
16,-80.1617,202,0,3245.52
17,-100.03,139,0,3294.73
18,-90.3219,206,0,3230.62
19,-69.1764,198,0,3146.1
20,-93.0674,116,0,3180.82
21,-64.4867,213,0,3131.92
22,-48.3911,495,0,3120.88
23,-72.235,204,0,3150.67
24,-61.2856,213,0,3157.44
25,-95.6259,107,0,3186.67
26,-79.2301,173,0,3138.53
27,-72.5458,158,0,3094.57
28,-72.7859,212,0,3125.37
29,-55.3956,348,0,3114.88
30,-23.5396,251,0,3126.56
31,-38.598,233,0,3128.44
32,-83.1953,112,0,3148.22
33,23.7275,430,0,3134.88
34,-8.63033,310,0,3115.48
35,269.29,585,1,3070.8
36,-65.4705,123,0,3122.52
37,-95.8545,363,0,3105.23
38,-95.433,21,0,3425.1
39,-46.9736,200,0,3120.35
40,-69.3363,109,0,3152.95
41,-77.1223,78,0,3238.05
42,-70.1385,259,0,3115.95
43,-68.1654,144,0,3148.22
44,-82.4783,139,0,3220.63
45,-78.5284,144,0,3171.8
46,-68.9802,144,0,3151.28
47,-60.2563,188,0,3138.56
48,-69.3496,191,0,3222.07
49,-78.5016,170,0,3286.04
50,-50.5143,227,0,3290.24
51,-78.9656,227,0,3150.57
52,-63.5799,135,0,3152.68
53,33.7563,548,0,3094.09
54,-73.5874,142,0,3152.37
55,-108.784,98,0,3175.15
56,-124.601,133,0,3236
57,-55.0789,190,0,3105.49
58,-62.8377,151,0,3133.49
59,-69.843,149,0,3142.18
60,-109.847,105,0,3159.02
61,-72.772,194,0,3127.15
62,-65.7728,188,0,3139.35
63,-62.5922,235,0,3122.11
64,-62.6138,213,0,3136.48
65,-53.5855,208,0,3292.43
66,-45.6226,266,0,3276.8
67,-75.8314,150,0,3325.05
68,-82.09,187,0,3273.08
69,-58.9153,184,0,3359.81
70,-77.1032,186,0,3927.23
71,-80.4811,168,0,3234.62
72,-72.1223,180,0,3227.88
73,-68.0026,146,0,3306.54
74,-75.7532,178,0,3273.76
75,-134.622,116,0,3321.76
76,-71.4107,171,0,3316.7
77,-82.0823,233,0,3277.55
78,-64.2307,451,0,3159.16
79,-72.7321,218,0,3168.33
80,-72.6833,144,0,3197.92
81,-51.6807,198,0,3188.25
82,-66.8462,162,0,3186.4
83,-72.7296,119,0,3206.19
84,-53.685,223,0,3179.73
85,-77.0621,180,0,3177.08
86,-52.2015,210,0,3984.83
87,-188.614,188,0,3436.26
88,-69.8677,133,0,3278.11
89,-73.3199,201,0,3279.88
90,-61.2778,205,0,3310.58
91,-64.4571,180,0,3395.02
92,-35.9573,189,0,3345.25
93,-33.818,231,0,3368.63
94,-66.8818,109,0,3372.91
95,-60.6495,124,0,3375.11
96,-63.2843,204,0,3425.23
97,-89.5581,62,0,3569.61
98,-85.3815,50,0,3626.67
99,-81.7086,78,0,3594.79
100,-103.837,44,0,3696.67
101,-63.4948,109,0,3607.21
102,-84.6112,63,0,3661.68
103,-79.5842,98,0,3484.29
104,-86.4946,103,0,3402.32
105,-98.072,42,0,3531.59
106,-80.5496,99,0,3408.78
107,-103.527,54,0,3486.06
108,-85.1261,106,0,3433.47
109,-79.9058,71,0,3481.79
110,-85.5375,67,0,3479.42
111,-72.5733,96,0,3448.17
112,-90.2238,100,0,3423.81
113,-82.0014,97,0,3444.65
114,-78.1086,182,0,3467.22
115,-99.6045,168,0,3873.62
116,-83.2164,92,0,4065.19
117,-104.354,85,0,3482.62
118,-84.1153,90,0,3460.51
119,-87.6287,135,0,3415.8
120,-79.3095,107,0,3439.29
121,-71.6544,226,0,3414.45
122,-93.1267,83,0,3456.56
123,-86.026,91,0,3491.81
124,-86.1289,70,0,3479.87
125,-74.9595,226,0,3406.85
126,-90.7397,80,0,3506.29
127,-81.5612,105,0,3529.03
128,196.389,237,1,3531.59
